CSK,DC,GT,KKR,LSG,MI,PBKS,RCB,RR,SRH
 Ajay Mandal,Abhishek Porel,Abhinav Manohar,Nitish Rana,KL Rahul,Rohit Sharma,Shikhar Dhawan,Faf du Plessis,Sanju Samson,Abdul Samad
 Ajinkya Rahane,Anrich Nortje,Sai Sudharsan,Rinku Singh,Quinton de Kock,Dewald Brevis,Liam Livingstone,Glenn Maxwell,Jos Buttler,Aiden Markram
 Deepak Chahar,Axar Patel,Darshan Nalkande,Rahmanullah Gurbaz,Nicholas Pooran,Suryakumar Yadav,Jonny Bairstow,Virat Kohli,Shimron Hetmyer,Rahul Tripathi
Devon Conway,David Warner,David Miller,Shreyas Iyer,Ayush Badoni,Ishan Kishan,Jitesh Sharma,Rajat Patidar,Yashasvi Jaiswal,Glenn Phillips
Maheesh Theekshana,Ishant Sharma,Jayant Yadav,Jason Roy,Kyle Mayers,Tilak Verma,Shivam Singh,Anuj Rawat,Dhruv Jurel,Heinrich Klaasen
Matheesha Pathirana,Kuldeep Yadav,Joshua Little,Sunil Narine,Marcus Stoinis,Tim David,Rahul Chahar,Dinesh Karthik,Riyan Parag,Mayank Agarwal
Mitchell Santner,Lalit Yadav,Kane Williamson,Suyash Sharma,Deepak Hooda,Vishnu Vinod,Prabhsimran Singh,Suyash Prabhudessai,Donovan Ferreira,Anmolpreet Singh
Moeen Ali,Lungisani Ngidi,Matthew Wade,Anukul Roy,Ravi Bishnoi,Arjun Tendulkar,Arshdeep Singh,Will Jacks,Kunal Rathore,Upendra Singh Yadav
MS Dhoni,Mitchell Marsh,Mohammed Shami,Andre Russell,Naveen ul Haq,Shams Mulani,Harpreet Bhatia,Mahipal Lomror,Ravichandran Ashwin,Nitish Kumar Reddy
Mukesh Choudhary,Mukesh Kumar,Mohit Sharma,Venkatesh Iyer,Krunal Pandya,Nehal Wadhera,Harpreet Brar,Karn Sharma,Kuldeep Sen,Abhishek Sharma
Nishant Sindhu,Pravin Dubey,Noor Ahmad,Harshit Rana,Yudhvir Singh,Jasprit Bumrah,Atharva Taide,Manoj Bhandage,Navdeep Saini,Marco Jansen
Prashant Solanki,Prithvi Shaw,R Sai Kishore,Vaibhav Arora,Prerak Mankad,Kumar Kartikeya,Vidwath Kaverappa,Vyshak Vijaykumar,Prasidh Krishna,Washington Sundar
Rajvardhan Hangargekar,Rishabh Pant,Rahul Tewatia,Varun Chakaravarthy,Yash Thakur,Piyush Chawla,Rishi Dhawan,Akash Deep,Sandeep Sharma,Sanvir Singh
Ravindra Jadeja,Syed Khaleel Ahmed,Rashid Khan,KS Bharat,Amit Mishra,Akash Madhwal,Kagiso Rabada,Mohammed Siraj,Trent Boult,Bhuvneshwar Kumar
Ruturaj Gaikwad,Vicky Ostwal,Shubman Gill,Chetan Sakariya,Mark Wood,Jason Behrendorff,Sam Curran,Reece Topley,Yuzvendra Chahal,T Natarajan
Shaik Rasheed,Yash Dhull,Vijay Shankar,Mitchell Starc,Mayank Yadav,Hardik Pandya ,Nathan Ellis,Himanshu Sharma,Adam Zampa,Mayank Markande
Shivam Dube,Harry Brook,Wriddhiman Saha,Angkrish Raghuvanshi,Mohsin Khan,Romario Shepherd,Sikandar Raza,Rajan Kumar,Avesh Khan ,Umran Malik
Simarjeet Singh,Tristan Stubbs,Azmatullah Omarzai,Ramandeep Singh,K Gowtham,Gerald Coetzee,Harshal Patel,Mayank Dagar ,Rovman Powell,Fazalhaq Farooqi
Tushar Deshpande,Ricky Bhui ,Umesh Yadav ,Sherfane Rutherford,Devdutt Padikkal ,Dilshan Madushanka,Chris Woakes,Cameron Green,Shubham Dubey,Shahbaz Ahmed
Rachin Ravindra,Kumar Kushagra ,Shahrukh Khan ,Manish Pandey ,Shivam Mavi ,Shreyas Gopal ,Ashutosh Sharma,Alzarri Joseph,Tom Kohler Cadmore,Travis Head
Shardul Thakur ,Rasikh Dar ,Sushant Mishra ,Mujeeb Ur Rehman,Arshin Kulkarni ,Nuwan Thushara,Vishwanath Pratap Singh,Yash Dayal,Nandre Burger,Wanindu Hasaranga
Daryl Mitchell,Jhye Richardson,Kartik Tyagi ,Gus Atkinson,M Siddharth,Naman Dhir ,Shashank Singh,Tom Curran,Abid Mushtaq ,Pat Cummins
Sameer Rizvi ,Sumit Kumar,Manav Suthar ,Sakib Hussain,Ashton Turner,Anshul Kamboj ,Tanay Thyagarajan,Lockie Ferguson,,Jaydev Unadkat
Mustafizur Rahman,Shai Hope,Spencer Johnson,,David Willey,Mohammad Nabi,Prince Choudhary,Swapnil Singh ,,Akash Singh 
Avanish Rao Aravelly,Swastik Chhikara,Robin Minz ,,Mohammed Arshad Khan ,Shivalik Sharma,Rilee Rossouw,Saurav Chuahan ,,Jhathavedh Subramanyan 
