Owner Name,Team Name,Team Captain 
Mukesh Ambani and Nita Ambani,Mumbai Indians,Hardik Pandya
United Spirits Limited (USL),Royal Challengers Bangalore,Faf Du Plessis
N. Srinivasan ,Chennai Super Kings,Ruturaj Gaikwad 
Kalanithi Maran,Sunrisers Hyderabad,Aiden Markram
Sajjan Jindal and Parth Jindal,Delhi Capitals,David Warner
"Mohit Burman, Ness Wadia, Preity Zinta, Karan Paul",Punjab Kings,Shikhar Dhawan
"Shah Rukh Khan, Juhi Chawla, Jay Mehta",Kolkata Knight Riders,Shreyas Iyer
"Manoj Badale, Lachlan Murdoch, and others",Rajasthan Royals,Sanju Samson
CVC Capital Partners,Gujarat Titans,Shubhan Gill
Sanjiv Goenka,Lucknow Super Giants,KL Rahul
